GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Number of Wells,GCCS Capacity (cfm),Passive Venting/Flaring?
1007341,1994,Anchorage Regional Landfill,AK,,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,No,Public,"Municipality of Anchorage, AK","Municipality of Anchorage, AK",1987,2043,Open,165,112,300,150,"27,104,639","11,008,984",2022,"301,589",2022,No,Not used,Yes,5.675,Yes,4.066,2022,50.7,Yes,1,1.915,2022,111,2000,No
1010389,11941,Capitol Disposal Landfill,AK,,5600 Tonsgard Court,Juneau,Juneau,99801,58.3528,-134.4947,No,Private,WM,,1965,2049,Open,35,,,38,"1,814,421","1,008,308",2022,"29,530",2022,No,Not used,No,0.765,Yes,0.614,2022,27.6,Yes,1,0.614,2022,48,1300,No
1005349,12216,Central Peninsula Landfill (CPL),AK,Soldotna Landfill; Central Peninsula Baling Facility; Soldotna KPB Central Landfill,46915 Sterling Highway,Soldotna,Kenai Peninsula,99669,60.443004,-151.107896,No,Public,"Kenai Peninsula Borough, AK","Kenai Peninsula Borough, AK",1969,2042,Open,,24.8,,,"2,703,698","1,810,714",2022,"44,467",2022,Yes,Several times per year,Yes,0.657,No,,,,No,,,,,,Yes
,10960,Kodiak Island Borough Landfill,AK,,1203 Monashka Bay Road,Kodiak,Kodiak Island,99615,57.80874,-152.40761,No,Public,"Kodiak Island Borough, AK","Kodiak Island Borough, AK",,2014,Closed,,,,100,,"228,688",2007,"14,674",2007,Unknown,Not used,No,,No,,,,Unknown,,,,,,Unknown
1004380,11020,Merrill Field Landfill,AK,,800 Merrill Field Drive,Anchorage,Anchorage,99501,61.21266,-149.84012,No,Public,"Municipality of Anchorage, AK",,1960,1987,Closed,,185.7,,,"3,295,353","3,295,353",1987,"205,044",1987,No,Not used,No,1.187,Yes,0.117,2022,35.6,Yes,1,0.117,2022,30,500,No
1011448,10980,Palmer Central Landfill,AK,Matanuska-Susitna Borough Central Landfill,"1201 N. 49th State Street
Just off the Palmer-Wasilla Highway",Palmer,Matanuska-Susitna,99645,61.59,-149.21,No,Public,"Matanuska-Susitna Borough, AK","Matanuska-Susitna Borough, AK",1980,2150,Open,,,,45,"41,974,220","2,200,139",2022,"92,974",2022,No,Not used,Yes,,Yes,0.263,2022,32,Yes,,0.263,2022,13,600,Yes
1006806,10961,South Cushman Landfill,AK,Fairbanks North Star Borough S. Cushman Landfill,455 Sanduri Street,Fairbanks,Fairbanks North Star,99701,64.80476,-147.70085,No,Public,"Fairbanks North Star Borough, AK","Fairbanks North Star Borough, AK",1963,2082,Open,,97.7,,,"10,518,622","4,710,091",2022,"108,038",2022,Yes,Several times per year,Yes,0.858,No,,,,No,,,,,,No
,11000,Unalaska Landfill,AK,,1181 Summer Bay Road,Unalaska,Aleutians West,99685,53.88463,-166.50657,No,Public,City of Unalaska,City of Unalaska,1970,2013,Closed,,,,30,,,,900,2007,Unknown,Not used,No,,Unknown,,,,Unknown,,,,,,Unknown
1001297,10860,Arrowhead Landfill,AL,Perry County Associates Landfill,"On Cahaba Road
622 Tayloe Road",Uniontown,Perry,36786,32.413,-87.4685,No,Private,Arrowhead Environmental Partners,,2007,2099,Open,425.3,,,,"63,278,380","6,357,488",2022,"852,212",2022,Yes,Several times per year,No,0.3,No,,,,No,,,,,,Yes
,27,Athens/Limestone County SLF MSWLF,AL,,"Strain Road
off Highway 31",Athens,Limestone,35611,34.7634,-86.9399,No,Public,"City of Athens, AL","City of Athens, AL",1972,1996,Closed,65,,78,,,"1,195,575",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
